layer,head,mean_gap,p99,p999,cum4,cum8,cum16,cum32
5,31,1670.5667158619203,5,23,0.9892142744970673,0.9941521021476353,0.9976901881445464,0.9998306575415427
6,0,1642.227393208948,9,29,0.9793492907433038,0.9886354116777253,0.9962394951189464,0.9993758095526178
6,1,1443.1672676629873,8,28,0.984601363447063,0.9909140904335438,0.9960018892240452,0.9995415834932844
6,2,1511.216673774758,5,20,0.9895311327787188,0.9949427508521961,0.9984451226773022,0.9998995748890566
6,3,1594.9927147319145,5,15,0.989897895782508,0.9973756584819798,0.9991284038241209,0.9999279045013373
6,4,1265.2783342953617,5,20,0.9886741904964584,0.9960440570538082,0.9985059801206243,0.9998401291674466
6,5,1586.8778158518517,6,18,0.9835940991384845,0.9942618550824415,0.9986543736921007,0.9999164225315765
6,6,1572.7872964388048,2,13,0.9964086080221971,0.998223161356049,0.99938026874159,0.9999581882934131
6,7,1786.7134808510873,6,28,0.9883518310186928,0.9926726981699153,0.9966070689875691,0.9994685534508623
6,8,1343.2161033335042,3,17,0.9938314059824894,0.9973234880443166,0.9989252296398075,0.9998881568021382
6,9,1630.1038183811377,5,12,0.989572303286258,0.9978837474978082,0.9994843522557424,0.9999329349821354
6,10,1742.7108466782706,8,23,0.9775660829221817,0.9906424497089718,0.9970452417550378,0.9998119999491841
6,11,1660.507763076106,10,22,0.9746673046159898,0.9873280689872425,0.9970371186340043,0.9998567807622054
6,12,1303.262251653457,10,28,0.9812134934083997,0.9881621232997096,0.9946981511089321,0.9995424783176101
6,13,1474.9290149736119,4,21,0.9900781355860095,0.9952404417685,0.9981992062424375,0.9998261635995555
6,14,1651.567707761375,12,24,0.960357267029403,0.9821895663010951,0.9947109293371692,0.9998002580084877
6,15,1301.2206461898238,2,17,0.9945437155853248,0.9972906512243469,0.9989225581499948,0.9998942802817117
6,16,1718.9930649111093,3,6,0.9970101436028507,0.9996840852697744,0.9998979128092955,0.9999874591099164
6,17,1209.5583250067348,11,26,0.975573151093826,0.9868004501460548,0.9953159996051516,0.999681110804307
