src,seq,layer,method,rho,kl,relL2
c4,0,18,bp,0.125,0.21180444955825806,0.8430377244949341
c4,0,18,c,0.5,0.035191167145967484,0.35136091709136963
c4,0,18,c,0.25,0.08620961010456085,0.5713600516319275
c4,0,18,c,0.125,0.1405377984046936,0.6950664520263672
c4,0,18,d,0.5,0.027371250092983246,0.2905680239200592
c4,0,18,d,0.25,0.05172900855541229,0.4288833737373352
c4,0,18,d,0.125,0.0781225636601448,0.5238909721374512
c4,0,19,a,0.5,0.006342209875583649,0.14833855628967285
c4,0,19,a,0.25,0.015033822506666183,0.2213774025440216
c4,0,19,a,0.125,0.0271061472594738,0.3155786693096161
c4,0,19,b,0.5,0.03429568186402321,0.36450129747390747
c4,0,19,b,0.25,0.09860746562480927,0.5928294658660889
c4,0,19,b,0.125,0.17119534313678741,0.7446548938751221
c4,0,19,bp,0.5,0.06267181038856506,0.4828301966190338
c4,0,19,bp,0.25,0.14565980434417725,0.7040416598320007
c4,0,19,bp,0.125,0.22748872637748718,0.821280300617218
c4,0,19,c,0.5,0.03296356648206711,0.3413752317428589
c4,0,19,c,0.25,0.08595550805330276,0.5523196458816528
c4,0,19,c,0.125,0.15236490964889526,0.6948595643043518
c4,0,19,d,0.5,0.023369984701275826,0.277769535779953
c4,0,19,d,0.25,0.050201330333948135,0.436964213848114
c4,0,19,d,0.125,0.08098985999822617,0.5443881750106812
c4,0,20,a,0.5,0.006378144957125187,0.11155420541763306
c4,0,20,a,0.25,0.015852179378271103,0.17110446095466614
c4,0,20,a,0.125,0.029024649411439896,0.24826936423778534
c4,0,20,b,0.5,0.042201701551675797,0.32983481884002686
c4,0,20,b,0.25,0.12126253545284271,0.5158865451812744
c4,0,20,b,0.125,0.19641536474227905,0.6489173769950867
c4,0,20,bp,0.5,0.07531867921352386,0.4286688566207886
c4,0,20,bp,0.25,0.16318956017494202,0.6104392409324646
c4,0,20,bp,0.125,0.2533831000328064,0.7293374538421631
c4,0,20,c,0.5,0.03863532841205597,0.32545140385627747
c4,0,20,c,0.25,0.10690520703792572,0.49065977334976196
c4,0,20,c,0.125,0.17579291760921478,0.6262015700340271
c4,0,20,d,0.5,0.027720509096980095,0.2341482788324356
c4,0,20,d,0.25,0.057126350700855255,0.3614317774772644
c4,0,20,d,0.125,0.0935923159122467,0.45776236057281494
c4,0,21,a,0.5,0.005258694291114807,0.1252286434173584
c4,0,21,a,0.25,0.013886617496609688,0.21633169054985046
c4,0,21,a,0.125,0.02884434536099434,0.34874066710472107
c4,0,21,b,0.5,0.028432615101337433,0.3554497957229614
c4,0,21,b,0.25,0.09226026386022568,0.5991057753562927
c4,0,21,b,0.125,0.15646369755268097,0.7262238264083862
c4,0,21,bp,0.5,0.05808756500482559,0.48374494910240173
c4,0,21,bp,0.25,0.13819697499275208,0.7031808495521545
c4,0,21,bp,0.125,0.21981531381607056,0.8203608393669128
c4,0,21,c,0.5,0.029147760942578316,0.3279140293598175
c4,0,21,c,0.25,0.08871039748191833,0.5825660228729248
c4,0,21,c,0.125,0.14574971795082092,0.7054781317710876
c4,0,21,d,0.5,0.02172652631998062,0.25987523794174194
c4,0,21,d,0.25,0.05009742081165314,0.462412029504776
c4,0,21,d,0.125,0.08213992416858673,0.5739012956619263
c4,0,22,a,0.5,0.008033614605665207,0.14722546935081482
